Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec
36.stl,1,2.5242296156929892E-05,322,0.169603648363932,-0.9689917895401681,-0.17969283309410655,00:00:15.7306338
36.stl,2,0.00012890317036638903,322,0.1859882137535842,0.9640236656120887,-0.18991249691524506,00:00:15.7306338
36.stl,3,0.0002101162562066227,322,-0.120750763654461,0.9198834216871895,0.3731403805298118,00:00:15.7306338
36.stl,4,0.00028144218213906926,322,-0.20107108580919594,-0.9424887282302716,0.2669932875755421,00:00:15.7306338
36.stl,5,0.0013189071729696792,322,0,0,-1,00:00:15.7306338
36.stl,6,0.008026967010841215,322,0.03145461460681209,0.855097500131243,-0.5175121954980734,00:00:15.7306338
36.stl,7,0.008422246136566391,322,0,0.85065080835204,-0.5257311121191336,00:00:15.7306338
36.stl,8,0.010031375421041731,322,0.2754951827528808,-0.8574438673726602,0.43461755439118244,00:00:15.7306338
36.stl,9,0.01118537360628917,322,-0.9498284988007617,-0.0021478750833404314,0.312763823832805,00:00:15.7306338
36.stl,10,0.011283711322669823,322,1,0,0,00:00:15.7306338
36.stl,11,0.012209650765855055,322,-0.5047950216460714,-0.8010586306069384,0.3216940416785476,00:00:15.7306338
36.stl,12,0.014947989698733621,322,-0.4042847326403549,0,0.9146331805450296,00:00:15.7306338
36.stl,13,0.015590029349193601,322,-0.5257311121191336,0,0.85065080835204,00:00:15.7306338
36.stl,14,0.017520875398166973,322,-0.5,0.8090169943749475,0.3090169943749474,00:00:15.7306338
36.stl,15,0.017537209203666578,322,0.3281616192266391,-0.840037276021396,-0.43202699749101675,00:00:15.7306338
36.stl,16,0.018443777999559124,322,-1,0,0,00:00:15.7306338
36.stl,17,0.022811386684183452,322,-0.7830892231945951,-0.5835814678697913,-0.2149510150602354,00:00:15.7306338
36.stl,18,0.024089811185416,322,0.8891855271658682,0.4232247610179169,0.17386747809778666,00:00:15.7306338
adaptor.stl,1,2.202868777165721E-07,293,0.655414893096339,0.08188768991704327,-0.750816704760599,00:00:12.9124994
adaptor.stl,2,1.8178524788529027E-06,293,0.8881225692304971,-0.28958661792688006,0.35690039610666185,00:00:12.9124994
adaptor.stl,3,2.162795457685104E-06,293,-0.655414893096339,0.08188768991704327,-0.750816704760599,00:00:12.9124994
adaptor.stl,4,2.2119756440260585E-06,293,0.04373854553864664,-0.724937185411814,0.6874249172392292,00:00:12.9124994
adaptor.stl,5,3.3109410720597055E-06,293,-0.6770693008575864,-0.12781015089776773,0.7247356257034069,00:00:12.9124994
adaptor.stl,6,3.4907013251579703E-06,293,0.04373854553864664,0.724937185411814,0.6874249172392292,00:00:12.9124994
adaptor.stl,7,4.2299988361700425E-06,293,-0.7253627309914686,0.4846332799754936,0.4888552878192001,00:00:12.9124994
adaptor.stl,8,4.2484235641096766E-06,293,0.8881225692304971,0.28958661792688006,0.35690039610666185,00:00:12.9124994
adaptor.stl,9,5.99740813588475E-06,293,0.07973148904354437,0.5805371666074257,-0.8103206080572807,00:00:12.9124994
adaptor.stl,10,6.055446477509335E-06,293,0.07973148904354437,-0.5805371666074257,-0.8103206080572807,00:00:12.9124994
adaptor.stl,11,6.064003337729342E-06,293,-0.8090169943749475,-0.3090169943749474,0.5,00:00:12.9124994
adaptor.stl,12,1.1772416103279894E-05,293,-0.2497585080997257,0.895410278039343,0.3685934367474626,00:00:12.9124994
adaptor.stl,13,1.2303602904994428E-05,293,-0.2497585080997257,-0.895410278039343,0.3685934367474626,00:00:12.9124994
adaptor.stl,14,1.2998660446287794E-05,293,0.2497585080997257,-0.895410278039343,0.3685934367474626,00:00:12.9124994
