Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec,objf
Square_Support.STL,1,0.16607464166200114,691,0.49592029097136586,-0.0636839277861215,0.8660296890664938,00:03:19.9825488,0
Square_Support.STL,2,0.169630053735573,691,-0.4932295517037138,0.08199755816143472,-0.8660259867819878,00:03:19.9825488,0
Square_Support.STL,3,0.18277005237597263,691,-0.6323536545262298,0.2642937220782626,-0.7282016781615789,00:03:19.9825488,0
Square_Support.STL,4,0.18278421160574201,691,0.7945806888991439,-0.0021540689774888593,0.6071547486558942,00:03:19.9825488,0
Square_Support.STL,5,0.18278440462454895,691,-0.7945082528929264,0.23558636740118163,-0.5596925044877279,00:03:19.9825488,0
Square_Support.STL,6,0.18792623386752422,691,0.7754066840923344,0.009428039970361556,-0.6313917851280995,00:03:19.9825488,0
Square_Support.STL,7,0.19078103118580858,691,0.6444520332191929,-0.22665219556710972,0.7302810138051358,00:03:19.9825488,0
Square_Support.STL,8,0.20273301698936785,691,-0.007221982685366377,0.9956149708040132,0.09326667613363533,00:03:19.9825488,0
Square_Support.STL,9,0.20273354140997688,691,0.10746831077223666,0.9734862731153577,0.20192829973961887,00:03:19.9825488,0
Square_Support.STL,10,0.21535884482289291,691,-0.8107030242880773,-0.05495459079322175,0.5828727128292374,00:03:19.9825488,0
Square_Support.STL,11,0.2430830788133534,691,0.027397956754637687,-0.9327221499964663,-0.35955353269247764,00:03:19.9825488,0
Square_Support.STL,12,0.24308339577707985,691,-0.02737884891092562,-0.9990478992637616,-0.03396606555045441,00:03:19.9825488,0
