X,Y,Z,fun
-0.8944271909999159,0,0.4472135954999579,Infinity
-1,0,0,Infinity
0,1,-0,Infinity
-0.3864939758404985,0.3864939758404985,0.8374036143210801,Infinity
0,-1,0,Infinity
1,0,0,Infinity
-0,-0,-1,Infinity
0,0.7071067811865476,0.7071067811865476,Infinity
0.3407771005482389,0.3975732839729454,0.8519427513705973,Infinity
0,-0,1,Infinity
-0.3864939758404985,-0.3864939758404985,0.8374036143210801,Infinity
0.3571365303754426,-0.3571365303754426,0.8630799484073195,Infinity
0,-0.7071067811865476,0.7071067811865476,Infinity
-0.7071067811865475,0,-0.7071067811865475,Infinity
-0.7071067811865475,-0.7071067811865475,0,Infinity
0,-0.7071067811865475,-0.7071067811865475,Infinity
0.7071067811865475,0,0.7071067811865475,Infinity
0.7071067811865475,-0.7071067811865475,0,Infinity
0.7071067811865475,0,-0.7071067811865475,Infinity
0.7071067811865475,0.7071067811865475,0,Infinity
0,0.7071067811865475,-0.7071067811865475,Infinity
-0.7071067811865475,0.7071067811865475,0,Infinity
-0.5,-0.49999999999999983,-0.7071067811865475,Infinity
0.5,-0.5,-0.7071067811865475,Infinity
0.5,0.5,-0.7071067811865475,Infinity
-0.5,0.49999999999999983,-0.7071067811865475,Infinity
