Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec
36.stl,First Best,-349.90910323105277,122,0,-1,0,00:00:07.9287337
,Second Best,-0.0024938652535014838,122,0,1,0,00:00:00.0010371
adaptor.stl,First Best,-52.49121720909367,127,0,-1,0,00:00:05.1451122
,Second Best,-52.49121569195113,127,1,0,0,00:00:00.0004798
Aerospace_Beam2.STL,First Best,-26853.173174885997,166,0,1,0,00:00:01.3285837
,Second Best,-12566.037274729098,166,0,-1,0,00:00:00.0008694
Aerospace_Beam_Fillets.STL,First Best,-18312.327275071682,133,0,1,0,00:00:09.5575788
,Second Best,-5759.956860645432,133,0,-1,0,00:00:00.0015777
bearing bracket.STL,First Best,-2350.74548242007,202,0,1,0,00:00:01.4021416
,Second Best,-1997.8086798672352,202,1,0,0,00:00:00.0030260
Casing.stl,First Best,-1.1377549529190853,222,1,0,0,00:00:27.4637644
,Second Best,-1.1377073869981753,222,-1,0,0,00:00:00.0021381
CoffeeSpoonHolder.stl,First Best,-987.3639681604632,125,0,0,-1,00:00:00.3993764
,Second Best,-16.670365696803326,125,0,-1,0,00:00:00.0019283
Cuboide.stl,First Best,-28.501843261067048,74,0,1,0,00:00:01.1609852
,Second Best,-28.50184326106704,74,0,-1,0,00:00:00.0017709
Lower Wishbone.STL,First Best,-11690.006760559214,121,0,1,0,00:00:19.4498469
,Second Best,-528.3970822721324,121,0,0,-1,00:00:00.0031700
mendel_extruder.stl,First Best,-985.2006094643419,180,0,0,1,00:00:01.8007819
,Second Best,-691.0612195664213,180,0,0,-1,00:00:00.0023052
Mic_Holder_JR.stl,First Best,-2.1404294815129035,136,1,0,0,00:00:03.5581588
,Second Best,-2.140425303427875,136,-1,0,0,00:00:00.0019181
Mic_Holder_SW.stl,First Best,-39521.25308622117,172,0,1,0,00:00:01.9145210
,Second Best,-3999.995993026159,172,1,0,0,00:00:00.0022088
ObliqueHole.stl,First Best,-17999.993572741445,138,0,0,1,00:00:04.3295035
,Second Best,-11815.51676566625,138,0,-1,0,00:00:00.0021001
piston.STL,First Best,-588.4471185239743,164,0,-1,0,00:00:06.2177628
,Second Best,-168.9813422841053,164,0,0,1,00:00:00.0019097
Pump.stl,First Best,-76287.01592808645,102,0,-1,0,00:00:05.2809637
,Second Best,-74213.02718511473,102,0,0,-1,00:00:00.0022582
radiobox.stl,First Best,-168.21130620067896,205,0,0,1,00:00:04.6967424
,Second Best,-99.53221240437928,205,0,1,0,00:00:00.0019589
Rook.amf.3mf,First Best,-1.6225781125072183,75,0,1,0,00:00:01.1752029
,Second Best,-0.27746599763574314,75,0,-1,0,00:00:00.0017412
spherebox.stl,First Best,-0.0006359352777619132,226,1,0,0,00:00:01.8444469
,Second Best,-2.6487700415753807E-05,226,-0.25892368303223284,0.7619464741164275,-0.5936295957468497,00:00:00.0011478
SquareSupportWithAdditionsForSegmentationTesting.STL,First Best,-19354.784108224638,178,0,-1,0,00:00:04.7380911
,Second Best,-15967.703326778055,178,0,0,1,00:00:00.0046570
Square_Support.STL,First Best,-19354.79258362697,184,0,-1,0,00:00:03.7226246
,Second Best,-12096.744506101517,184,0,0,-1,00:00:00.0022219
sth2.STL,First Best,-8739.977888104988,93,0,1,0,00:00:01.6298608
,Second Best,-0.004011444382728435,93,0,0,-1,00:00:00.0017291
TestPartC.STL,First Best,-9768.650084944687,167,0,1,0,00:00:01.9729767
,Second Best,-4019.4114510246973,167,1,0,0,00:00:00.0024078
TestPartK2.STL,First Best,-1697.3397052839255,185,0,-1,0,00:00:03.9117646
,Second Best,-267.87595773504154,185,0,0,1,00:00:00.0034427
TieFighter.STL,First Best,-1228.9938848341992,99,-1,0,0,00:00:01.1297515
,Second Best,-1228.9938848340864,99,1,0,0,00:00:00.0032364
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,First Best,-0.00021911218025963853,113,-0.07049185786657476,-0.2550756600157107,0.964348124715379,00:00:01.5060884
,Second Best,-0.00019560371853402357,113,0.021332069862734462,0.9847627625191905,0.17258981531638518,00:00:00.0022703
TXT - G5 support de carrosserie-1.STL,First Best,-224.9487527085641,189,-1,0,0,00:00:05.6943432
,Second Best,-171.09537360123593,189,1,0,0,00:00:00.0019909
