Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec,objf
mendel_extruder.stl,1,0.14102007992311244,673,0.10001792845465741,0.8660308769094474,0.48988461317650367,00:21:19.4511287,0
mendel_extruder.stl,2,0.14271062505522597,673,-0.056596696626363456,0.8660296092484568,0.49677915599987527,00:21:19.4511287,0
mendel_extruder.stl,3,0.14714424889910888,673,0.13870338841182805,-0.8660400141379165,-0.4803499390601347,00:21:19.4511287,0
mendel_extruder.stl,4,0.1506001603921523,673,-0.13418453978631434,-0.8660282927918482,-0.4816528888799193,00:21:19.4511287,0
mendel_extruder.stl,5,0.20070492659041872,673,-0.13718265688689585,-0.42099881470638567,0.8966275239280078,00:21:19.4511287,0
mendel_extruder.stl,6,0.2077238684120873,673,0,0.85065080835204,0.5257311121191336,00:21:19.4511287,0
mendel_extruder.stl,7,0.21574140668424127,673,0.15223048674054118,-0.819410612519938,-0.5526229519269337,00:21:19.4511287,0
mendel_extruder.stl,8,0.21953455532863544,673,-0.14802759920493821,-0.8190933179319718,-0.5542327727524021,00:21:19.4511287,0
mendel_extruder.stl,9,0.25533451004454105,673,0.1743087045053813,0.6310567946939797,-0.7558993302048997,00:21:19.4511287,0
mendel_extruder.stl,10,0.27417679285902063,673,0.3090169943749474,0.5,-0.8090169943749475,00:21:19.4511287,0
mendel_extruder.stl,11,0.27581174835546995,673,-0.3090169943749474,0.5,-0.8090169943749475,00:21:19.4511287,0
mendel_extruder.stl,12,0.28504802390271505,673,-0.3090169943749474,-0.5,0.8090169943749475,00:21:19.4511287,0
mendel_extruder.stl,1,0.00037822333113002315,678,1,0,0,00:04:34.3308606,1
mendel_extruder.stl,2,0.0051054759159547825,678,-1,0,0,00:04:34.3308606,1
mendel_extruder.stl,3,0.011927587910568693,678,0.44473123614826643,0.1842110616138597,0.8765160650970008,00:04:34.3308606,1
mendel_extruder.stl,4,0.011935815535018768,678,0.46577061882587717,0.22044957663570913,0.8570062513189132,00:04:34.3308606,1
mendel_extruder.stl,5,0.012078040698144887,678,-0.4770524625456241,0.8758360335375205,-0.07302184834978706,00:04:34.3308606,1
mendel_extruder.stl,6,0.012902386005906874,678,-0.5856856004109835,-0.8032963316252224,0.10810819149669694,00:04:34.3308606,1
mendel_extruder.stl,7,0.012961231066047185,678,0.5981096427296304,-0.7940368991419205,0.10849082023340709,00:04:34.3308606,1
mendel_extruder.stl,8,0.013622061284354281,678,-0.6111276461096821,-0.7560997971864208,0.23417108458367086,00:04:34.3308606,1
mendel_extruder.stl,9,0.013705967861935897,678,0.594350927609215,-0.7656066182363611,0.24615743125639805,00:04:34.3308606,1
mendel_extruder.stl,10,0.017759416577101228,678,-0.47598391466974355,0.8177513558928154,-0.32360783814847294,00:04:34.3308606,1
mendel_extruder.stl,11,0.017789332732220386,678,-0.7165669224151788,-0.6817183540715489,-0.1476209044221631,00:04:34.3308606,1
mendel_extruder.stl,12,0.017932903871857753,678,0.7165669224151788,-0.6817183540715489,-0.1476209044221631,00:04:34.3308606,1
mendel_extruder.stl,13,0.018133927580707088,678,0.5,0.8090169943749475,-0.3090169943749474,00:04:34.3308606,1
mendel_extruder.stl,14,0.0186025559274009,678,-0.6208477773620305,0.750388428887777,0.22685952291221984,00:04:34.3308606,1
mendel_extruder.stl,1,0.03828592719124096,299,0.038490324109640116,0.8209809515370372,0.5696567143142224,00:00:00.0239063,2
mendel_extruder.stl,2,0.03828592719124096,299,-0.038490324109640116,-0.8209809515370372,-0.5696567143142224,00:00:00.0239063,2
mendel_extruder.stl,3,0.06737566747730718,299,0.000490742181188924,-0.5877239290321725,0.8090613959490947,00:00:00.0239063,2
mendel_extruder.stl,4,0.0673756674773074,299,-0.000490742181188924,0.5877239290321725,-0.8090613959490945,00:00:00.0239063,2
mendel_extruder.stl,5,0.2667789425266336,299,0.3090169943749474,-0.5,0.8090169943749475,00:00:00.0239063,2
mendel_extruder.stl,6,0.2667789425266336,299,-0.3090169943749474,0.5,-0.8090169943749475,00:00:00.0239063,2
mendel_extruder.stl,1,0,432,0.37148222908444956,0.09063163458422144,-0.9240058767600132,00:00:00.0831359,3
mendel_extruder.stl,2,0,432,-0.37148222908444956,-0.09063163458422144,0.9240058767600132,00:00:00.0831359,3
mendel_extruder.stl,3,0,432,0,1,0,00:00:00.0831359,3
mendel_extruder.stl,4,0,432,0.12389576523119673,-0.9438421505934341,0.3062871759002282,00:00:00.0831359,3
mendel_extruder.stl,5,0,432,-0.2530386245385746,-0.9155023440470861,0.31277294086272456,00:00:00.0831359,3
mendel_extruder.stl,6,0.006567722436036982,432,-0.03590279633471116,-0.8231357418478594,0.5667085138833918,00:00:00.0831359,3
mendel_extruder.stl,7,0.006567957190277807,432,0.03590279633471116,0.8231357418478594,-0.5667085138833918,00:00:00.0831359,3
mendel_extruder.stl,8,0.39142280415888653,432,-0.2595160635103482,0.7848382850682706,0.5627435286799745,00:00:00.0831359,3
