File,Cost,NumEvals,Best_Dir_X,Best_Dir_Y,Best_Dir_Z
C:\Users\galon\source\repos\OOOT\TestFiles\36.stl,9.678915913580166E-06,119,-0.27810987277438776,0.9603801318474414,0.01802501090442492
C:\Users\galon\source\repos\OOOT\TestFiles\adaptor.stl,2.285116576294932E-06,172,-0.5719018469992695,0.4577272663875935,0.6807451997657898
C:\Users\galon\source\repos\OOOT\TestFiles\Aerospace_Beam2.STL,3.144799226634243E-05,178,0.7599330169554007,-0.5200520247535679,0.3899329446081434
C:\Users\galon\source\repos\OOOT\TestFiles\Aerospace_Beam_Fillets.STL,6.0925036421022316E-05,82,0.6873585714390034,0.07442112521405153,-0.722495460464083
C:\Users\galon\source\repos\OOOT\TestFiles\bearing bracket.STL,3.4995445949981274E-06,188,0.7244216919515178,-0.6293883750703787,0.28121786137507104
C:\Users\galon\source\repos\OOOT\TestFiles\Casing.stl,0.0005114492839489726,167,0,0,-1
C:\Users\galon\source\repos\OOOT\TestFiles\CoffeeSpoonHolder.stl,2.838017967821127E-05,219,-0.5663152314340939,0.7904694635995504,0.2333347075820219
C:\Users\galon\source\repos\OOOT\TestFiles\Cuboide.stl,0.02172733934078408,210,0,-1,0
C:\Users\galon\source\repos\OOOT\TestFiles\Lower Wishbone.STL,8.716899173027981E-05,126,0.8090169943749475,-0.3090169943749474,-0.5
C:\Users\galon\source\repos\OOOT\TestFiles\mendel_extruder.stl,9.630118926740039E-07,166,-0.7907546095868846,-0.129800481751403,-0.5982131579580957
C:\Users\galon\source\repos\OOOT\TestFiles\Mic_Holder_JR.stl,3.9091655327228025E-06,114,0.32124679789588234,0.9052843952476647,0.27795801582741286
C:\Users\galon\source\repos\OOOT\TestFiles\Mic_Holder_SW.stl,3.431874516235389E-07,164,-0.7599330169554007,0.5200520247535679,0.3899329446081434
C:\Users\galon\source\repos\OOOT\TestFiles\ObliqueHole.stl,1.4367621870015057E-08,155,-0.5642542117657714,0.6465777917977317,0.5133754412304479
C:\Users\galon\source\repos\OOOT\TestFiles\piston.STL,0.00017031356279906262,203,0.11543319509708931,-0.9927820550030803,-0.032541799789473164
C:\Users\galon\source\repos\OOOT\TestFiles\Pump.stl,0.00039665216804773973,116,0.7162520714544606,-0.6129889063966922,-0.33350797707368535
C:\Users\galon\source\repos\OOOT\TestFiles\radiobox.stl,1.5357853798692034E-06,198,-0.2887760545331826,0.9218323704798641,0.2585217032740628
C:\Users\galon\source\repos\OOOT\TestFiles\spherebox.stl,7.287181150728017E-07,128,-0.36977282685994756,-0.6633410281855525,-0.6505741593713489
C:\Users\galon\source\repos\OOOT\TestFiles\SquareSupportWithAdditionsForSegmentationTesting.STL,3.289482223090001E-05,169,0.11426870798496784,0.10852277480425634,-0.9875046682037664
C:\Users\galon\source\repos\OOOT\TestFiles\Square_Support.STL,0.00018139780092535362,182,0,0.9554225632202384,-0.2952418088443263
C:\Users\galon\source\repos\OOOT\TestFiles\sth2.STL,0.00020889002180540794,103,-0.655414893096339,-0.08188768991704327,-0.750816704760599
C:\Users\galon\source\repos\OOOT\TestFiles\TestPartC.STL,4.064456812780115E-06,250,-0.7983579731508529,-0.601739797001638,0.023103320343400884
C:\Users\galon\source\repos\OOOT\TestFiles\TestPartK2.STL,1.8418960383181915E-05,167,0.6817183540715489,0.1476209044221631,-0.7165669224151788
C:\Users\galon\source\repos\OOOT\TestFiles\TieFighter.STL,0.0003852769077646867,96,0,-0.8796184830979776,0.4756798547262781
C:\Users\galon\source\repos\OOOT\TestFiles\TXT - Amortisseur-1 X5 butoir de ressort-1.STL,3.916413108706607E-06,83,-0.37174320867580074,0.2572301881490158,0.8919863323550659
C:\Users\galon\source\repos\OOOT\TestFiles\TXT - G5 support de carrosserie-1.STL,5.207926638578497E-05,130,-0.5792774288925887,-0.2129761162837927,0.7868156291459037
