Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec
36.stl,First Best,-349.8902262234601,115,0,-1,0,00:00:06.7316432
,Second Best,0.007571869876671258,115,-0.42054380798479246,0,-0.9072722334369382,00:00:00.0011071
adaptor.stl,First Best,68.17284764217442,133,0,-1,0,00:00:05.4150671
,Second Best,68.172848414315,133,1,0,0,00:00:00.0005225
Aerospace_Beam2.STL,First Best,0.009709189308642115,165,0,1,0,00:00:01.4964106
,Second Best,14287.145487210026,165,0,-1,0,00:00:00.0004607
Aerospace_Beam_Fillets.STL,First Best,0.016787277607478456,116,0,1,0,00:00:07.1912556
,Second Best,12552.376631467661,116,0,-1,0,00:00:00.0018713
bearing bracket.STL,First Best,0.005573938412799957,209,0,1,0,00:00:01.8018463
,Second Best,352.92074420841897,209,1,0,0,00:00:00.0016773
Casing.stl,First Best,0.009795914376161018,229,1,0,0,00:00:19.9295240
,Second Best,0.00982063820313649,229,-1,0,0,00:00:00.0018895
CoffeeSpoonHolder.stl,First Best,0.08958472491013798,136,0,0,-1,00:00:00.4951149
,Second Best,970.8202390384417,136,0,1,0,00:00:00.0019925
Cuboide.stl,First Best,0.0046402251156945325,74,0,1,0,00:00:01.2418419
,Second Best,0.004640225115701638,74,0,-1,0,00:00:00.0014596
Lower Wishbone.STL,First Best,-11161.610520592032,171,0,1,0,00:00:18.5693974
,Second Best,0.00023327984928724285,171,0,0,-1,00:00:00.0018928
mendel_extruder.stl,First Best,0.005663964470884256,192,0,0,1,00:00:02.4618165
,Second Best,294.1450630546229,192,0,0,-1,00:00:00.0012899
Mic_Holder_JR.stl,First Best,0.04189296374603351,140,1,0,0,00:00:03.3309794
,Second Best,0.041895417529637005,140,-1,0,0,00:00:00.0031001
Mic_Holder_SW.stl,First Best,0.00033388906166947533,192,0,1,0,00:00:02.3748569
,Second Best,35521.25442954396,192,1,0,0,00:00:00.0018950
ObliqueHole.stl,First Best,-6184.47373307641,141,0,0,1,00:00:04.2638463
,Second Best,0.003153180285960294,141,0,-1,0,00:00:00.0017682
piston.STL,First Best,0.0012683636197735595,173,0,-1,0,00:00:06.0350576
,Second Best,419.4671997646786,173,0,0,1,00:00:00.0029417
Pump.stl,First Best,0.006426514461252289,114,0,-1,0,00:00:04.8266536
,Second Best,2073.9982361479306,114,0,0,-1,00:00:00.0020893
radiobox.stl,First Best,-168.21528675491783,204,0,0,1,00:00:04.7227001
,Second Best,-99.5321180612782,204,0,1,0,00:00:00.0019580
Rook.amf.3mf,First Best,0.002067822079807812,76,0,1,0,00:00:01.1432541
,Second Best,1.3448086122867198,76,0,-1,0,00:00:00.0019637
spherebox.stl,First Best,0.00018730569313166334,236,0.9160920268893069,0,0.400968076372473,00:00:02.1845302
,Second Best,0.00018731698748800267,236,0.9160920268893069,0,-0.400968076372473,00:00:00.0016564
SquareSupportWithAdditionsForSegmentationTesting.STL,First Best,0.009520791095946604,169,0,-1,0,00:00:04.6986909
,Second Best,3387.0942811421746,169,0,0,1,00:00:00.0018687
Square_Support.STL,First Best,0.004510512174393981,179,0,-1,0,00:00:03.9932084
,Second Best,7258.052721352725,179,0,0,-1,00:00:00.0017132
sth2.STL,First Best,-8739.9594086087,94,0,1,0,00:00:01.8602766
,Second Best,0.013645858503941379,94,1,0,0,00:00:00.0015679
TestPartC.STL,First Best,0.018681485939781382,181,0,1,0,00:00:02.5206073
,Second Best,5749.274298188399,181,1,0,0,00:00:00.0013798
TestPartK2.STL,First Best,-1697.2859545347121,175,0,-1,0,00:00:04.0240221
,Second Best,-267.84764355216817,175,0,0,1,00:00:00.0029011
TieFighter.STL,First Best,0.010899190247564907,106,-1,0,0,00:00:01.3646587
,Second Best,0.010899190306520527,106,1,0,0,00:00:00.0024973
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,First Best,9.813993073983296E-05,116,0,0,1,00:00:01.7191395
,Second Best,0.00010019069848416367,116,-0.27765516828743514,0.6386008299711144,0.7177022972538682,00:00:00.0018253
TXT - G5 support de carrosserie-1.STL,First Best,0.027802107192731663,187,-1,0,0,00:00:05.2430112
,Second Best,53.88083703681311,187,1,0,0,00:00:00.0010110
