Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec,objf
TieFighter.STL,1,0.16994861299888553,777,0.45007820412968524,-0.08904970296940873,0.8885379905037586,00:02:44.3532088,0
TieFighter.STL,2,0.17019173182463374,777,-0.4598344560105631,0.11619599966444982,-0.8803696739026445,00:02:44.3532088,0
TieFighter.STL,3,0.17175277224969915,777,-0.4661589430581931,0.1808473724886728,-0.8660196693325224,00:02:44.3532088,0
TieFighter.STL,4,0.172681376858361,777,0.4764767484540278,-0.153782159545294,0.865633268531347,00:02:44.3532088,0
TieFighter.STL,5,0.17407864792534056,777,0.48917244050149616,6.3280677247257E-05,0.8721870897057387,00:02:44.3532088,0
TieFighter.STL,6,0.1747208694200852,777,-0.49614446633217046,-0.029150641718790483,-0.8677504875339156,00:02:44.3532088,0
TieFighter.STL,7,0.17665374664403505,777,0.5200174896452063,0.020266929292211282,0.8539151374932771,00:02:44.3532088,0
TieFighter.STL,8,0.176944650598095,777,-0.5255247745340319,-0.0007892199488973755,-0.850777931356254,00:02:44.3532088,0
TieFighter.STL,9,0.1998135581756019,777,0.24665220841869506,-0.8871384512785072,0.3900616058334278,00:02:44.3532088,0
TieFighter.STL,10,0.20285268931568368,777,0.13223359805646628,0.8649818442011774,0.4840668184738251,00:02:44.3532088,0
TieFighter.STL,11,0.20861365489895234,777,0.9748882826804061,0.05763335430546509,-0.21510749118510428,00:02:44.3532088,0
TieFighter.STL,12,0.21097981426035473,777,-0.20997177385792148,-0.9596034928768711,-0.18727784343447232,00:02:44.3532088,0
TieFighter.STL,13,0.2165372531988809,777,-0.2740978724659382,0.8662592893633025,-0.4176903157860289,00:02:44.3532088,0
TieFighter.STL,14,0.2418635607585302,777,-0.9358486088939985,-0.07341715263432712,0.34466984627355496,00:02:44.3532088,0
